"key","message","comment","context"
"Overview","Général",,"resources\views\DMS.xml:64
resources\views\Group.xml:22
resources\views\Meta.xml:147
resources\views\Meta.xml:181
resources\views\Meta.xml:203
resources\views\Meta.xml:243
resources\views\Meta.xml:300
resources\views\Meta.xml:320
resources\views\Meta.xml:337
resources\views\Meta.xml:369
resources\views\Meta.xml:393
resources\views\Meta.xml:437
resources\views\Meta.xml:466
resources\views\Meta.xml:489
resources\views\Meta.xml:510
resources\views\MetaJson.xml:114
resources\views\MetaJson.xml:135
resources\views\MetaJson.xml:153
resources\views\MetaJson.xml:188
resources\views\MetaPermission.xml:12
resources\views\MetaPermission.xml:26
resources\views\Permission.xml:22
resources\views\Role.xml:11
resources\views\Schedules.xml:21
resources\views\Schedules.xml:39
resources\views\Team.xml:117
resources\views\Team.xml:52
resources\views\Team.xml:85
resources\views\User.xml:20"
"Owner","Propriétaire",,"resources\views\DMS.xml:34"
"Package","Nom du package",,"resources\domains\Meta.xml:207
resources\domains\Meta.xml:220"
"Padding","Remplissage",,"resources\domains\MetaSequence.xml:15"
"Panel","Panneau",,"resources\views\MetaJson.xml:14"
"Params","Paramètres",,"resources\domains\MetaSchedule.xml:24
resources\views\Permission.xml:35"
"Parent","Parent",,"resources\domains\DMS.xml:11
resources\domains\Mail.xml:43
resources\domains\Meta.xml:108
resources\domains\Meta.xml:137"
"Parent menu","Menu parent",,"resources\views\MetaJson.xml:164"
"Password","Mot de passe",,"resources\domains\User.xml:15
resources\views\User.xml:49"
"Password doesn't match configured pattern.","Le mot de passe ne correspond pas au motif configuré.",,"resources\views\User.xml:91"
"Password of the new user","Mot de passe du nouvel utilisateur",,"resources\views\User.xml:49"
"Pending","En attente ?",,"resources\domains\Meta.xml:22"
"Permission","Permission",,"resources\domains\DMS.xml:42
resources\views\DMS.xml:102
resources\views\DMS.xml:111
resources\views\DMS.xml:92
resources\views\Permission.xml:21"
