"key","message","comment","context"
"Name length should be greater than 2.",,,"resources\views\Group.xml:43
resources\views\User.xml:86"
"Navigation",,,"resources\domains\Group.xml:15"
"New",,,"resources\views\Team.xml:7"
"New password",,,"resources\views\User.xml:44
resources\views\User.xml:74"
"New password of the user",,,"resources\views\User.xml:44
resources\views\User.xml:74"
"Next",,,"resources\domains\MetaSequence.xml:18"
"No archived messages!",,,"resources\views\Mail.xml:40"
"No help",,,"resources\domains\User.xml:25"
"No important messages!",,,"resources\views\Mail.xml:29"
"Normal",,,"resources\views\Team.xml:15"
"Not allowed",,,"resources\domains\Group.xml:30"
"Object",,,"resources\domains\Meta.xml:282
resources\domains\MetaPermission.xml:11
resources\domains\Permission.xml:14"
"Object name",,,"resources\domains\Meta.xml:281"
"On change",,,"resources\domains\MetaJson.xml:56"
"On click",,,"resources\domains\MetaJson.xml:57"
"On new",,,"resources\domains\MetaJson.xml:67"
"On save",,,"resources\domains\MetaJson.xml:68"
"OneToMany",,,"resources\views\Meta.xml:380
resources\views\MetaJson.xml:22"
"OneToOne",,,"resources\views\Meta.xml:378"
"Only if",,,"resources\views\MetaJson.xml:78"
"Only use this menu-item if the given expression is true (ie `if` condition).",,,"resources\domains\Meta.xml:115"
"Only use this menu-item if the given module is installed (ie `if-module` condition).",,,"resources\domains\Meta.xml:116"
"Options",,,"resources\views\MetaJson.xml:102
resources\views\MetaJson.xml:37"
"Orange",,,"resources\views\Meta.xml:66"
"Order",,,"resources\domains\Meta.xml:130
resources\domains\Meta.xml:196
resources\domains\Meta.xml:256
resources\views\MetaJson.xml:167"
"Order by",,,"resources\domains\MetaJson.xml:71"
"Overview",,,"resources\views\DMS.xml:64
resources\views\Group.xml:22
resources\views\Meta.xml:147
resources\views\Meta.xml:181
resources\views\Meta.xml:203
resources\views\Meta.xml:243
resources\views\Meta.xml:300
resources\views\Meta.xml:320
resources\views\Meta.xml:337
resources\views\Meta.xml:369
resources\views\Meta.xml:393
resources\views\Meta.xml:437
resources\views\Meta.xml:466
resources\views\Meta.xml:489
resources\views\Meta.xml:510
resources\views\MetaJson.xml:114
resources\views\MetaJson.xml:135
resources\views\MetaJson.xml:153
resources\views\MetaJson.xml:188
resources\views\MetaPermission.xml:12
resources\views\MetaPermission.xml:26
resources\views\Permission.xml:22
resources\views\Role.xml:11
resources\views\Schedules.xml:21
resources\views\Schedules.xml:39
resources\views\Team.xml:117
resources\views\Team.xml:52
resources\views\Team.xml:85
resources\views\User.xml:20"
"Owner",,,"resources\views\DMS.xml:34"
"Package",,,"resources\domains\Meta.xml:207
resources\domains\Meta.xml:220"
"Padding",,,"resources\domains\MetaSequence.xml:15"
"Panel",,,"resources\views\MetaJson.xml:14"
"Params",,,"resources\domains\MetaSchedule.xml:24
resources\views\Permission.xml:35"
"Parent",,,"resources\domains\DMS.xml:11
resources\domains\Mail.xml:43
resources\domains\Meta.xml:108
resources\domains\Meta.xml:137"
"Parent menu",,,"resources\views\MetaJson.xml:164"
"Password",,,"resources\domains\User.xml:15
resources\views\User.xml:49"
"Password doesn't match configured pattern.",,,"resources\views\User.xml:91"
"Password of the new user",,,"resources\views\User.xml:49"
"Pending",,,"resources\domains\Meta.xml:22"
"Permission",,,"resources\domains\DMS.xml:42
resources\views\DMS.xml:102
resources\views\DMS.xml:111
resources\views\DMS.xml:92
resources\views\Permission.xml:21"
"Permissions",,,"resources\domains\DMS.xml:21
resources\domains\Group.xml:22
resources\domains\Role.xml:15
resources\domains\User.xml:33
resources\views\DMS.xml:85
resources\views\Group.xml:50
resources\views\Menu.xml:41
resources\views\Menu.xml:44
resources\views\MetaPermission.xml:11
resources\views\MetaPermission.xml:6
resources\views\Permission.xml:11
resources\views\Permission.xml:6"
"Permissions (fields)",,,"resources\domains\Group.xml:23
resources\domains\Role.xml:16
resources\domains\User.xml:34"
"Personal",,,"resources\domains\Mail.xml:13"
"Personalized View",,,"resources\views\Meta.xml:180"
"Personalized Views",,,"resources\views\Meta.xml:170"
"Photo",,,"resources\domains\Team.xml:11
resources\domains\User.xml:19"
"Pink",,,"resources\views\Meta.xml:53"
"Placeholder",,,"resources\views\Meta.xml:47"
"Please change your password.",,,"java\com\axelor\auth\pac4j\AuthPac4jModuleLocal.java:56"
"Please log back in.",,,"java\com\axelor\auth\AuthObserver.java:70"
"Please refresh your browser to see updated views.",,,"java\com\axelor\meta\web\MetaController.java:261"
"Precision",,,"resources\domains\MetaJson.xml:41"
"Preferences",,,"resources\views\User.xml:62"
"Prefix",,,"resources\domains\MetaSequence.xml:13"
